20260630                                                                        _____________________________________________________
+S-U/WRECADV        30/06/26                             0.00                                                                        
+S-UNINT            30/06/26                             0.00                                                                        
+S-UNQUOAFS         30/06/26                       200,000.00                                                                        
+S-UNQUOM           30/06/26                             0.00                                                                        
+S-UNQUOOCI         30/06/26                     1,652,672.84                                                                        
+S-UNQUOTOCI        30/06/26                     1,652,672.84                                                                        
+S-UNR NID AF       30/06/26                             0.00                                                                        
+S-UNREAL AFS       30/06/26                             0.00                                                                        
+S-UNREAL BAS       30/06/26                             0.00                                                                        
+S-UNREAL HFT       30/06/26                             0.00                                                                        
+S-UNREAL MTN       30/06/26                             0.00                                                                        
+S-UNREAL UQS       30/06/26                    25,619,668.05                                                                        
+S-UNREAL 0CD       30/06/26                             0.00                                                                        
+S-UNREALBNMD       30/06/26                             0.00                                                                        
+S-UNREALCAG        30/06/26                             0.00                                                                        
+S-UNREALCAGN       30/06/26                             0.00                                                                        
+S-UNREALHFT        30/06/26                             0.00                                                                        
+S-UNREALMGS        30/06/26                       114,692.81-                                                                       
+S-URMGI-A          30/06/26                       598,969.06-                                                                       
+SRR_01             30/06/26                       724,287.82                                                                        
+T-ACDISCAGB        30/06/26                             0.00                                                                        
+T-ACDISISL         30/06/26                             0.00                                                                        
+T-ACDISLNID        30/06/26                             0.00                                                                        
+T-ACDISLNIDT       30/06/26                             0.00                                                                        
+T-ACDISMGST        30/06/26                             0.00                                                                        
+T-ACDISNID         30/06/26                             0.00                                                                        
+T-ACDISPDS         30/06/26                             0.00                                                                        
+T-ADMINBOX         30/06/26                             0.00                                                                        
+T-ADMOPERI         30/06/26                             0.00                                                                        
+T-ADMRI            30/06/26                             0.00                                                                        
+T-AGENCYFEE        30/06/26                     1,562,083.26-                                                                       
+T-ALWCORPFEE       30/06/26                             0.00                                                                        
+T-BANKCHGRI        30/06/26                             0.00                                                                        
+T-BDWOFF           30/06/26                             0.00                                                                        
+T-CF FEE W/O       30/06/26                             0.00                                                                        
+T-CFW/O            30/06/26                             0.00                                                                        
+T-COMMISSION       30/06/26                             0.00                                                                        
+T-CORPADVFEE       30/06/26                     7,325,000.02-                                                                       
+T-CUSTODIAN        30/06/26                        20,945.76                                                                        
+T-DEPN ROUA        30/06/26                     1,134,120.30                                                                        
+T-DFFEE            30/06/26                       158,483.82-                                                                       
